colid,colname
19_0_0,Heel ultrasound method
21_0_0,Weight method
21_1_0,Weight method
21_2_0,Weight method
21_3_0,Weight method
31_0_0,Sex
34_0_0,Year of birth
35_0_0,Was blood sampling attempted
35_1_0,Was blood sampling attempted
35_2_0,Was blood sampling attempted
35_3_0,Was blood sampling attempted
36_0_0,Blood pressure device ID
36_1_0,Blood pressure device ID
36_2_0,Blood pressure device ID
36_3_0,Blood pressure device ID
37_0_0,Blood pressure manual sphygmomanometer device ID
37_1_0,Blood pressure manual sphygmomanometer device ID
37_2_0,Blood pressure manual sphygmomanometer device ID
37_3_0,Blood pressure manual sphygmomanometer device ID
38_0_0,Hand grip dynamometer device ID
38_1_0,Hand grip dynamometer device ID
38_2_0,Hand grip dynamometer device ID
38_3_0,Hand grip dynamometer device ID
39_0_0,Height measure device ID
39_1_0,Height measure device ID
39_2_0,Height measure device ID
39_3_0,Height measure device ID
40_0_0,Manual scales device ID
40_1_0,Manual scales device ID
40_2_0,Manual scales device ID
40_3_0,Manual scales device ID
41_0_0,Seating box device ID
41_1_0,Seating box device ID
41_2_0,Seating box device ID
41_3_0,Seating box device ID
42_0_0,Spirometer device ID
42_1_0,Spirometer device ID
42_2_0,Spirometer device ID
42_3_0,Spirometer device ID
43_0_0,Impedance device ID
43_1_0,Impedance device ID
43_2_0,Impedance device ID
43_3_0,Impedance device ID
44_0_0,Tape measure device ID
44_1_0,Tape measure device ID
44_2_0,Tape measure device ID
44_3_0,Tape measure device ID
45_0_0,Heel ultrasound device id
45_1_0,Heel ultrasound device id
45_2_0,Heel ultrasound device id
45_3_0,Heel ultrasound device id
46_0_0,Hand grip strength (left)
46_1_0,Hand grip strength (left)
46_2_0,Hand grip strength (left)
46_3_0,Hand grip strength (left)
47_0_0,Hand grip strength (right)
47_1_0,Hand grip strength (right)
47_2_0,Hand grip strength (right)
47_3_0,Hand grip strength (right)
48_0_0,Waist circumference
48_1_0,Waist circumference
48_2_0,Waist circumference
48_3_0,Waist circumference
49_0_0,Hip circumference
49_1_0,Hip circumference
49_2_0,Hip circumference
49_3_0,Hip circumference
50_0_0,Standing height
50_1_0,Standing height
50_2_0,Standing height
50_3_0,Standing height
51_0_0,Seated height
51_1_0,Seated height
51_2_0,Seated height
51_3_0,Seated height
52_0_0,Month of birth
53_0_0,Date of attending assessment centre
53_1_0,Date of attending assessment centre
53_2_0,Date of attending assessment centre
53_3_0,Date of attending assessment centre
54_0_0,UK Biobank assessment centre
54_1_0,UK Biobank assessment centre
54_2_0,UK Biobank assessment centre
54_3_0,UK Biobank assessment centre
55_0_0,Month of attending assessment centre
55_1_0,Month of attending assessment centre
55_2_0,Month of attending assessment centre
55_3_0,Month of attending assessment centre
68_0_0,Number of blood samples taken
68_1_0,Number of blood samples taken
68_2_0,Number of blood samples taken
68_3_0,Number of blood samples taken
74_0_0,Fasting time
74_1_0,Fasting time
74_2_0,Fasting time
74_3_0,Fasting time
77_0_0,"Heel bone ultrasound T-score, manual entry"
78_0_0,"Heel bone mineral density (BMD) T-score, automated"
84_0_0,Cancer year/age first occurred
84_0_1,Cancer year/age first occurred
84_0_2,Cancer year/age first occurred
84_0_3,Cancer year/age first occurred
84_0_4,Cancer year/age first occurred
84_0_5,Cancer year/age first occurred
84_1_0,Cancer year/age first occurred
84_1_1,Cancer year/age first occurred
84_1_2,Cancer year/age first occurred
84_1_3,Cancer year/age first occurred
84_1_4,Cancer year/age first occurred
84_1_5,Cancer year/age first occurred
84_2_0,Cancer year/age first occurred
84_2_1,Cancer year/age first occurred
84_2_2,Cancer year/age first occurred
84_2_3,Cancer year/age first occurred
84_2_4,Cancer year/age first occurred
84_2_5,Cancer year/age first occurred
84_3_0,Cancer year/age first occurred
84_3_1,Cancer year/age first occurred
84_3_2,Cancer year/age first occurred
84_3_3,Cancer year/age first occurred
84_3_4,Cancer year/age first occurred
84_3_5,Cancer year/age first occurred
87_0_0,Non-cancer illness year/age first occurred
87_0_1,Non-cancer illness year/age first occurred
87_0_2,Non-cancer illness year/age first occurred
87_0_3,Non-cancer illness year/age first occurred
87_0_4,Non-cancer illness year/age first occurred
87_0_5,Non-cancer illness year/age first occurred
87_0_6,Non-cancer illness year/age first occurred
87_0_7,Non-cancer illness year/age first occurred
87_0_8,Non-cancer illness year/age first occurred
87_0_9,Non-cancer illness year/age first occurred
87_0_10,Non-cancer illness year/age first occurred
87_0_11,Non-cancer illness year/age first occurred
87_0_12,Non-cancer illness year/age first occurred
87_0_13,Non-cancer illness year/age first occurred
87_0_14,Non-cancer illness year/age first occurred
87_0_15,Non-cancer illness year/age first occurred
87_0_16,Non-cancer illness year/age first occurred
4257_0_5,Keystroke history
87_0_17,Non-cancer illness year/age first occurred
87_0_18,Non-cancer illness year/age first occurred
87_0_19,Non-cancer illness year/age first occurred
87_0_20,Non-cancer illness year/age first occurred
87_0_21,Non-cancer illness year/age first occurred
87_0_22,Non-cancer illness year/age first occurred
87_0_23,Non-cancer illness year/age first occurred
87_0_24,Non-cancer illness year/age first occurred
87_0_25,Non-cancer illness year/age first occurred
87_0_26,Non-cancer illness year/age first occurred
87_0_27,Non-cancer illness year/age first occurred
87_0_28,Non-cancer illness year/age first occurred
87_0_29,Non-cancer illness year/age first occurred
87_0_30,Non-cancer illness year/age first occurred
87_0_31,Non-cancer illness year/age first occurred
87_0_32,Non-cancer illness year/age first occurred
87_0_33,Non-cancer illness year/age first occurred
87_1_0,Non-cancer illness year/age first occurred
87_1_1,Non-cancer illness year/age first occurred
87_1_2,Non-cancer illness year/age first occurred
87_1_3,Non-cancer illness year/age first occurred
87_1_4,Non-cancer illness year/age first occurred
87_1_5,Non-cancer illness year/age first occurred
87_1_6,Non-cancer illness year/age first occurred
87_1_7,Non-cancer illness year/age first occurred
87_1_8,Non-cancer illness year/age first occurred
87_1_9,Non-cancer illness year/age first occurred
87_1_10,Non-cancer illness year/age first occurred
87_1_11,Non-cancer illness year/age first occurred
87_1_12,Non-cancer illness year/age first occurred
87_1_13,Non-cancer illness year/age first occurred
87_1_14,Non-cancer illness year/age first occurred
87_1_15,Non-cancer illness year/age first occurred
87_1_16,Non-cancer illness year/age first occurred
